agency_id,agency_lat,agency_lon
80458,25.902609,-97.500886
90614,41.809512,-87.623656
80961,39.745647,-75.548472
82697,41.06982,-80.678502
80291,36.015361,-86.507326
81150,43.442585,-70.770901
84682,42.848568,-106.295136
80441,40.739064,-73.364721
83451,39.15359,-84.549061
81758,36.139109,-86.723137
90643,,
81585,42.848378,-72.567017
80957,35.723346,-77.905352
90512,40.460292,-79.925208
80129,41.52963,-88.142423
84820,35.78004,-78.919623
90642,46.819,-95.845488
82463,40.300555,-79.542771
80193,35.735917,-81.371578
81644,42.41008,-74.619881
82430,35.18964,-114.052957
82429,32.705075,-114.612668
80437,41.02262,-73.760021
80293,35.614415,-88.821834
83154,35.614415,-88.821834
90519,42.905722,-78.887546
81044,26.678173,-80.058545
84585,40.731427,-84.102436
83463,40.080943,-75.17183
82987,32.286489,-90.207563
81377,41.810207,-71.428295
84186,45.983117,-95.966779
81653,33.985176,-118.330552
84234,30.3133,-81.734825
90294,26.683581,-80.664284
83686,42.370699,-83.073246
80318,42.370699,-83.073246
80240,42.105088,-72.596088
82533,44.923243,-92.951172
80099,41.841671,-79.163273
90641,,
90251,33.83249,-87.28199
82519,31.557939,-97.15257
90340,38.866633,-77.071099
83521,32.301643,-90.194745
81614,37.9563,-121.287995
90617,36.834991,-76.305684
84878,18.34028,-64.88556
90163,33.448468,-84.46072
84058,34.201796,-119.146663
90240,42.317172,-72.626104
90399,41.283395,-111.996572
90223,40.726365,-111.888136
80561,41.7505,-111.7994
90312,33.886369,-117.560383
90141,40.757431,-73.940609
84616,44.991674,-93.306982
80403,40.664967,-74.212894
90359,34.941529,-81.912093
80283,34.873539,-82.357709
83915,41.04432,-73.538538
81854,32.749463,-117.10192
80071,39.950138,-75.163815
80365,26.728426,-80.066219
83421,38.592822,-90.007395
80415,47.602141,-122.3144
80340,38.662175,-90.261497
80341,38.726259,-90.246563
82908,36.84999,-76.291335
80085,40.442085,-79.999241
80742,41.776492,-72.698725
80254,32.461014,-84.991833
80249,,
83500,40.748292,-74.194574
82030,26.127155,-80.177992
81686,42.323547,-71.098218
84060,38.444105,-105.183872
90584,35.949204,-83.942522
80564,32.101856,-81.149987
82525,30.778644,-85.548133
82518,29.018267,-81.22406
82502,28.296376,-81.365973
82495,30.787777,-85.666983
80041,28.822842,-82.491903
84875,29.6439,-82.3614
90489,38.894443,-76.948045
80219,38.901313,-77.003258
81961,38.86778,-76.988223
80022,35.275955,-93.130775
82746,33.515107,-86.776931
83803,33.515239,-86.777056
81257,35.068694,-106.641656
82783,38.845544,-76.997033
84980,38.914555,-77.016178
82002,41.413091,-75.659443
82778,35.073132,-89.921887
82756,43.020851,-87.922478
82852,39.923445,-75.159462
83897,38.910716,-76.926388
81470,32.716379,-117.140105
90301,33.447426,-112.05743
82310,43.091159,-75.251708
80745,39.954954,-75.163122
83553,33.944503,-83.3797
90467,42.397161,-82.954553
80065,40.038536,-76.298867
84790,44.957458,-93.182083
82985,34.691285,-90.382837
90618,36.144458,-95.907616
82759,42.735685,-73.687191
84254,25.566407,-80.384401
83474,40.733174,-74.212383
80850,33.465745,-112.051922
90613,40.0053,-85.777184
80231,39.347402,-85.479077
81223,31.151142,-81.493943
83824,31.205648,-81.478865
84934,41.70478,-87.657934
81940,38.13438,-104.022713
80350,37.271657,-79.944138
90640,34.9134,-106.6744
90202,44.300443,-92.682404
90203,44.026146,-92.478968
81930,42.986685,-71.45493
90239,40.727705,-74.0671
81010,35.584254,-80.810738
82563,40.889521,-73.355044
81348,41.857689,-87.668433
83058,32.188584,-110.970529
90063,41.291808,-73.918833
81634,41.75666,-88.312995
90652,41.877943,-87.634078
90446,39.781312,-86.123336
81076,38.539938,-90.281141
81533,38.189127,-85.802778
80989,42.3604,-71.0594
81246,43.069471,-70.772424
80377,43.15957,-77.587207
83664,40.528605,-74.274791
80477,33.625767,-83.983097
90354,38.635044,-121.430339
84432,39.468696,-80.15103
80064,40.280432,-76.890585
81056,39.411672,-77.411067
90292,40.869202,-73.843798
80049,28.1028,-81.7435
81929,40.554106,-85.660021
90555,36.165209,-86.782142
82378,36.165025,-86.782187
90579,29.914397,-93.946577
90546,40.793441,-77.85563
90612,42.790228,-86.088902
82453,35.856555,-78.700458
80232,34.920119,-81.96978
80222,38.640534,-75.612761
80203,38.376489,-75.505845
82433,42.220695,-85.868145
80230,39.483137,-77.95916
84982,32.823655,-83.649444
80202,36.588876,-79.420208
84494,35.856567,-78.700695
81689,29.711055,-95.31012
81370,27.9698,-82.749579
80061,30.451959,-84.2911
81190,30.444093,-84.259665
84813,33.67331,-112.100043
90581,47.213333,-122.483918
83787,43.061834,-76.153906
90254,37.101592,-113.590307
84318,39.631604,-106.076265
90627,39.571222,-106.081479
83890,33.73752,-84.394586
83076,36.73847,-76.568497
82204,40.792592,-73.971437
80507,36.894604,-76.182322
81844,42.149119,-77.060535
80048,27.425586,-82.536985
82186,35.774156,-80.885148
84069,27.754384,-82.64657
84308,39.9472,-75.082416
90443,29.930993,-81.333805
80321,39.317833,-76.612099
82498,29.897147,-81.319917
82447,42.110361,-72.568051
80883,42.111547,-72.559998
82240,39.803031,-89.640516
80417,47.651134,-117.376935
83756,41.731566,-87.5513
80970,41.91603,-87.726735
82945,41.479222,-81.716542
83494,35.148404,-106.639611
90421,44.185925,-93.982948
81101,43.989411,-95.756046
81344,39.698541,-105.034239
84445,31.968881,-83.782873
90078,42.324314,-83.081026
90060,39.926012,-75.230748
90047,36.696764,-78.895855
81243,37.518267,-77.447994
82567,36.169092,-115.131736
80162,44.94668,-93.092854
81350,38.534112,-76.784964
83753,34.187305,-90.584431
83739,34.526983,-90.586202
90601,34.489868,-93.087106
84020,34.74975,-92.398619
83567,35.675973,-90.522199
83852,37.974004,-81.149794
80485,46.831383,-96.800087
90167,33.490089,-80.860822
80505,37.271639,-79.946479
81066,39.286316,-76.569752
81473,41.558553,-87.669039
82352,41.796425,-87.6303
81149,42.380843,-71.098166
90505,18.397093,-66.05089
84639,27.995854,-82.438098
81447,47.070029,-109.410203
84399,41.890396,-87.714158
90059,38.2691,-78.3968
80542,38.376033,-78.261822
81404,43.548677,-96.726583
80334,38.351115,-75.584088
80097,41.210254,-80.490605
83164,34.062032,-118.286654
80409,39.893599,-75.084143
81340,36.34399,-119.385011
90098,42.3542,-83.2116
83516,38.960398,-76.912694
90201,38.960398,-76.912694
80598,44.798097,-93.511821
80519,40.686824,-76.19668
82669,35.68237,-105.961276
83418,37.341971,-121.92129
80560,34.966314,-80.077137
80558,34.936482,-79.772064
80192,35.160755,-79.424675
80559,35.357447,-79.893757
90143,37.771899,-122.423803
81472,37.73754,-122.389892
80881,38.361484,-75.607394
80302,29.805126,-91.512469
80301,30.229327,-92.022889
81326,42.122574,-80.069696
80025,41.653373,-74.689061
83907,48.535959,-117.90596
83254,47.505162,-111.300617
80003,41.93448,-74.019342
81571,46.584023,-112.041259
90229,38.83672,-104.844351
83804,35.941474,-77.794802
81233,41.130987,-73.991694
81091,40.603968,-73.752033
83458,41.51213,-90.573428
81198,36.299803,-76.220427
80856,37.949033,-122.331396
84588,41.823826,-71.413339
84834,42.24323,-88.317381
90081,41.483534,-87.678952
80191,35.828126,-78.621475
83840,33.751014,-84.35566
90625,39.311343,-76.615659
90547,30.41202,-89.028493
90483,38.347284,-81.63201
84928,36.003552,-78.89432
84768,34.95218,-81.920884
84149,33.799768,-84.217098
84624,26.800946,-80.106868
90122,25.794777,-80.32919
90471,27.905188,-82.493576
90422,26.203072,-80.163066
82039,38.046774,-84.523636
80241,42.260511,-71.83306
81281,31.309304,-92.442001
81002,42.247981,-71.001488
83117,38.296882,-77.459912
83118,38.297128,-77.459715
84311,36.060555,-95.904439
80723,41.421489,-73.678554
84291,18.449356,-66.070866
84906,40.503654,-74.274286
84236,40.488897,-74.4573
81892,41.816398,-71.455594
90293,45.561061,-122.6819
82215,35.471635,-80.601988
82950,33.432919,-82.090237
81203,37.427804,-121.915976
90620,44.962558,-93.258707
81747,41.900497,-71.087917
80351,38.78619,-77.521262
90316,38.607413,-77.294314
82550,44.933958,-93.243315
82836,40.677759,-73.95715
80016,45.531543,-122.631508
90138,45.484591,-122.795286
90161,45.568499,-122.661486
81181,18.013249,-66.6161
80870,42.862403,-112.45234
81840,,
90491,32.221441,-110.984154
81839,38.084814,-78.478272
80072,39.974034,-75.226579
82543,39.956408,-75.153826
80729,36.697252,-82.01381
90577,30.440091,-87.226347
81649,44.805402,-68.774541
81236,40.26023,-76.885666
82758,39.950805,-75.163957
90626,41.882581,-71.386884
90147,41.501332,-74.011372
90146,39.930234,-77.657416
90145,42.909603,-77.298143
90144,43.003466,-78.173349
90148,,
80902,40.190688,-85.387489
84694,40.896636,-85.522218
80404,40.91794,-74.171897
83737,47.75624,-122.344551
83501,39.930272,-75.097404
84515,29.427344,-98.520087
81143,43.318307,-76.435403
81419,32.953841,-80.042387
80845,33.748394,-117.837648
90511,33.749164,-117.838209
80597,42.530946,-75.527831
82357,44.484343,-73.222005
90420,39.97584,-75.158407
90661,33.758876,-84.387375
90655,37.045649,-88.553153
90594,36.192535,-86.791113
90417,33.120308,-117.084273
90654,33.520652,-86.808074
90416,39.299766,-76.591149
90496,33.65038,-84.449925
84856,37.774193,-122.230315
84855,33.758798,-84.387575
90630,33.695797,-84.092044
82766,33.951533,-118.164348
90178,28.552606,-81.448591
90494,35.035673,-90.023212
90495,35.099841,-89.847362
90662,38.030987,-78.478799
80013,45.519949,-123.030279
81936,48.699563,-122.912355
82411,25.901637,-80.250926
83414,18.40547,-66.054489
81118,46.789631,-92.102219
82172,35.742713,-81.689112
82711,46.612724,-120.523603
82788,40.797789,-81.947242
83467,39.993391,-83.00389
90370,41.014932,-80.76067
90367,41.638396,-83.558448
90362,41.492753,-81.597707
82787,,
90361,39.392588,-84.536821
82564,39.993231,-83.004049
81508,31.883483,-102.373232
90545,39.953365,-74.196969
81664,29.189918,-82.153002
84267,26.226371,-80.134733
82025,42.644474,-83.298403
80711,42.640899,-83.318173
84516,41.887274,-87.773437
81757,42.278467,-89.090034
81751,42.296337,-89.622672
84546,40.016319,-75.134884
80190,36.205721,-81.669186
84143,41.931235,-87.757201
82081,36.253146,-93.122758
80710,44.266352,-85.430909
80311,45.37519,-84.92224
80312,44.741891,-85.560433
84978,41.61897,-87.521203
80070,40.052363,-75.141549
81186,42.00806,-87.668734
81645,40.636154,-74.131819
90046,38.873442,-77.305302
90634,,
83991,39.082703,-84.51013
84025,45.211454,-84.995578
82748,45.663028,-97.049475
84034,45.037196,-83.46318
90001,43.301635,-91.776364
80213,39.743763,-104.960999
84536,40.23811,-103.811073
80102,48.477225,-114.004992
84135,42.042981,-88.038836
81354,34.390033,-89.507612
80255,40.775185,-74.025454
80498,41.103446,-72.361741
81465,39.342136,-91.195291
82539,46.796855,-100.752013
90188,35.967191,-78.949286
90425,34.993314,-78.92291
83903,33.594224,-101.814409
81694,39.98183,-75.135785
83720,41.516799,-81.569489
90598,39.804687,-84.32778
90450,41.43874,-81.559638
90404,33.520152,-117.166182
90599,36.195809,-115.249592
90332,32.741375,-117.04914
90600,38.409219,-121.363355
90449,33.939045,-117.244778
81627,34.00177,-118.330574
83722,41.502514,-81.667065
90527,40.617431,-74.421172
84294,33.50546,-112.036643
83854,42.271174,-71.093982
90140,34.583721,-118.139268
81771,37.747031,-122.202805
90451,30.028546,-90.044952
90336,,
90335,35.821653,-78.629548
90334,26.149163,-80.202886
90534,39.80549,-86.156435
90530,41.414729,-81.56866
90447,34.749726,-86.760378
80324,35.021068,-90.011212
90130,33.570053,-84.543646
80357,25.942212,-80.211274
90331,33.626921,-84.492012
83726,29.996221,-95.258173
90528,39.806836,-84.22341
81774,29.731413,-95.372493
90533,40.049638,-82.914006
90005,42.370774,-83.073644
90405,42.536496,-83.02827
84899,33.541526,-84.391859
90326,28.673154,-81.507909
84303,31.574834,-84.153658
84845,43.090824,-79.0427
80901,43.144612,-77.605097
90498,41.736396,-87.608565
90038,41.895489,-87.71643
81115,42.583003,-71.799187
84176,33.415044,-111.895581
81260,39.732388,-104.998862
82772,40.70744,-74.010875
84017,37.140869,-80.556395
90114,37.049978,-80.782299
90111,37.130594,-80.405609
90113,37.326832,-80.721434
90110,36.908355,-80.332751
81038,29.942325,-90.079821
82841,39.990375,-75.122654
80765,40.739768,-74.170093
84947,42.43445,-83.23925
80274,42.955426,-71.50285
81229,42.955798,-71.502278
82284,34.05982,-118.265627
81161,40.739068,-74.195811
90632,33.496146,-80.857159
80201,36.195855,-115.149855
80913,40.443239,-79.981251
83906,43.208047,-123.342561
82427,38.245252,-104.616328
81605,33.808924,-117.852226
82774,43.595851,-73.048299
80891,42.989622,-71.462812
80915,41.398777,-75.687202
81606,40.296997,-111.720913
80858,38.556706,-121.471978
80929,44.506948,-88.010426
80889,47.504354,-111.298937
81513,44.371559,-103.739129
84015,41.996928,-71.517566
80927,42.501499,-89.045205
80229,46.979045,-123.811804
84079,44.002997,-75.986098
81042,40.678552,-73.98185
90211,44.09115,-121.309372
84788,44.303826,-120.830529
84789,44.630976,-121.12957
81156,44.254833,-121.169079
80890,40.815936,-96.684742
90153,30.033405,-89.966465
90152,42.369213,-83.076332
81110,34.080336,-117.555827
80553,42.373548,-71.04049
84148,41.713738,-111.848074
90667,32.058526,-81.096864
80865,41.553907,-73.042662
81126,31.552534,-97.134552
80910,41.647815,-83.520974
82309,42.248673,-70.984773
81173,34.067913,-117.280447
80633,43.334426,-90.384599
83402,40.637435,-74.083622
84593,36.193629,-115.116319
82742,26.165137,-80.182087
84976,25.776436,-80.214915
80922,29.392211,-98.484181
90289,40.744794,-73.903899
80911,35.512581,-97.534639
83399,40.838111,-73.845082
80499,40.75416,-73.992666
80879,29.935236,-90.105393
80863,41.317485,-72.941892
81113,41.672947,-72.7919
81022,,
80914,40.338691,-75.927557
80871,41.905299,-87.66918
80892,39.938483,-75.117478
90287,40.650587,-73.950571
90296,40.682859,-73.926284
80846,33.518591,-86.810324
80880,39.312091,-76.615584
84932,43.615481,-116.223352
84527,39.952988,-83.798847
82307,29.659228,-82.331822
80077,39.728648,-75.54328
84895,44.933828,-93.084428
80706,40.608474,-105.071507
82432,43.440085,-85.939691
81328,,
83167,45.009526,-93.173355
90540,41.051456,-73.535515
84874,32.77846,-117.119549
84873,35.773887,-78.720616
80406,40.693144,-89.590713
83168,36.006091,-115.087089
84872,32.764,-96.8293
90481,,
90196,42.028399,-71.24467
82226,40.301378,-74.303212
90480,,
81528,45.570138,-122.610004
80751,38.902814,-77.045496
90466,33.90597,-84.477872
83581,42.32992,-83.04678
83442,38.688648,-75.384081
83441,39.684835,-75.735039
80570,39.168204,-75.545836
84434,38.89909,-77.033669
80759,37.746286,-122.201887
90516,32.915319,-117.120236
84475,37.700762,-122.483248
84941,,
90185,21.315471,-158.080843
90432,42.258451,-71.803216
84375,38.983347,-77.027069
84374,28.010563,-82.506108
84373,38.626689,-90.287643
84371,29.491534,-98.569032
90431,38.56323,-121.336493
90430,43.180658,-77.61387
90429,37.501735,-77.573095
84370,35.859883,-78.704644
84530,33.448039,-112.054109
84529,39.967664,-75.128151
90428,28.552259,-81.474451
84369,37.82604,-122.257685
84368,40.738934,-74.168862
84553,45.060281,-93.323403
84365,43.089766,-87.963149
84364,35.139831,-89.981143
84363,33.928836,-118.35273
84362,34.765876,-92.340663
84361,42.708482,-71.161535
84533,36.134229,-115.224974
84360,39.049305,-94.585369
84359,30.326618,-81.653248
84358,32.391766,-90.195494
84357,29.985793,-95.492509
90427,21.297665,-157.837423
84366,41.758311,-72.675468
84531,39.719711,-104.815088
84356,32.674987,-96.85737
84355,34.033996,-81.093902
84354,41.504101,-81.641031
84353,41.778357,-87.733388
84352,35.203132,-80.744152
84351,32.878429,-80.013356
84350,42.88638,-78.877492
84349,42.32271,-71.099514
84348,33.475386,-86.822852
84346,33.776979,-84.296671
84344,39.295079,-76.62041
84347,33.379711,-82.087334
84566,35.199404,-80.742765
80735,25.890174,-80.185362
80722,30.357169,-91.080238
90208,34.096262,-117.64849
84534,41.309081,-72.896423
84449,41.770305,-72.700203
82475,41.063056,-81.576935
80038,41.422377,-91.044834
90155,32.527229,-93.727003
81410,40.051884,-75.185138
90478,42.459574,-83.00952
82077,42.617948,-82.891221
84473,43.1022,-89.3025
90243,32.347653,-90.881354
81564,32.5053,-92.1132
90055,33.712532,-84.175622
82283,34.036712,-118.093298
84600,46.593091,-112.035631
83698,47.504354,-111.298937
82067,34.981874,-80.544095
80317,41.911183,-83.421734
84028,,
82593,,
82554,,
80178,36.143821,-115.281589
82645,39.944588,-74.951952
80532,39.113948,-77.156743
82636,32.775138,-117.127528
90263,29.533201,-98.563618
90536,39.464359,-119.789143
83789,33.581812,-112.109503
90261,40.814423,-74.454396
82654,34.217694,-119.096045
90608,33.935022,-84.183237
83834,40.756653,-73.986345
80513,29.940076,-90.073041
90325,25.783376,-80.299436
90259,34.741639,-92.353237
83833,40.703872,-73.798369
82423,,
82614,39.658121,-104.837635
80044,41.608629,-72.717735
81296,32.808764,-96.805428
82603,41.889745,-87.623839
90664,35.347513,-80.851707
83200,42.356247,-71.054166
82698,30.400885,-88.988317
80208,61.217961,-149.880885
80536,38.770796,-77.132425
82684,,
84752,45.445733,-122.776271
84828,33.852421,-84.36585
80084,40.407888,-79.909217
90539,44.955993,-93.135605
80838,32.314444,-90.181871
82507,32.327088,-90.195557
84137,32.283845,-90.227318
84170,35.941677,-89.918935
90280,32.327088,-90.195557
82560,37.760181,-122.419197
82238,44.971231,-93.073534
82282,31.996255,-102.079228
83675,43.828763,-84.823273
81466,29.210232,-81.07824
83419,30.451458,-91.169557
84012,40.479434,-89.01142
90517,40.880146,-88.631133
90233,42.977904,-85.630282
81939,42.730849,-84.480757
82055,42.296854,-83.838973
84188,42.399355,-83.122682
84782,42.982566,-85.063214
82234,44.019769,-84.800862
84174,39.748716,-84.189089
90587,35.204421,-89.857359
84214,40.68413,-73.968271
80008,42.090617,-75.911271
82295,33.701172,-84.397716
80990,43.025749,-83.682382
83863,40.667017,-89.635728
81011,42.645229,-71.309762
82980,30.400249,-89.014483
83415,40.012208,-89.849658
80292,35.146221,-90.053643
83460,39.916279,-75.390047
90639,43.1578,-102.8243
90605,42.426681,-82.984532
81568,42.288975,-71.063629
90306,39.214381,-76.071675
90308,39.5802,-75.8187
90307,39.5802,-75.8187
80326,38.976249,-75.80434
80221,38.894591,-76.947954
80445,40.595726,-73.769881
82370,38.973895,-77.013109
90548,39.178314,-76.850685
81227,44.315974,-69.817687
90249,31.561594,-91.403681
80131,38.889821,-90.180862
83860,39.286097,-89.887824
80625,37.414024,-79.141307
90623,34.123374,-117.300704
90389,33.871579,-117.920063
80727,43.514711,-96.718509
81415,46.78276,-92.103287
84946,44.95594,-93.130264
81432,44.161068,-94.006913
81433,45.124929,-95.021285
81434,46.363943,-94.178047
83557,44.959094,-93.265115
83980,29.961214,-90.014465
83057,38.248476,-85.777082
90456,30.402547,-91.126925
84444,29.951064,-90.0773
90535,34.366264,-89.571186
81109,34.061648,-118.31212
80904,41.467271,-82.157074
84222,41.366561,-82.106709
80443,40.781449,-73.097458
80680,40.816868,-73.253651
84247,37.009296,-86.436817
84940,25.849806,-80.193566
80703,37.944497,-86.769651
84278,36.003869,-86.591414
84537,30.476075,-90.479127
90279,39.953695,-75.153028
84773,35.825335,-80.252223
83949,46.497883,-84.348199
81703,32.331868,-86.234361
80976,20.887739,-156.502806
80973,21.449548,-158.190685
80977,21.974635,-159.366826
80978,,
80974,21.50008,-157.853592
80975,19.718214,-155.077723
80972,21.30984,-157.862883
82416,39.035521,-94.538428
81868,39.083717,-84.508297
84401,26.609091,-81.863666
83884,42.713148,-71.155647
90469,38.86461,-77.082977
82232,39.035944,-77.049975
82010,38.927655,-77.033165
81212,41.90982,-87.715403
81124,27.499314,-99.448179
90638,43.4467,-102.7145
80113,,
82538,30.232649,-92.005016
83071,41.587966,-85.828825
90649,41.682996,-85.971123
84051,40.863873,-73.630926
90501,43.009953,-88.228519
84555,40.761638,-74.188027
83736,48.756148,-122.482165
90099,33.875628,-117.924125
82557,34.056349,-118.322041
80370,38.833003,-77.210832
84045,47.236132,-93.53152
80169,35.9789,-83.910295
80983,35.975847,-83.908658
84194,41.880184,-87.754043
82169,35.167044,-78.97663
90214,29.694836,-95.126387
82130,42.662367,-77.054544
82125,37.774902,-87.111432
82124,37.327927,-87.500447
82123,36.86633,-87.488414
82126,37.079233,-88.617281
81018,36.959576,-86.448697
81213,38.177346,-84.901919
81685,44.541452,-69.635609
84484,36.920624,-83.930918
